Estado,Year,Edad mediana,Población de 0 a 4 años,Población de 10 a 14 años,Población de 100 años y más,Población de 15 a 19 años,Población de 20 a 24 años,Población de 25 a 29 años,Población de 30 a 34 años,Población de 35 a 39 años,Población de 40 a 44 años,Población de 45 a 49 años,Población de 5 a 9 años,Población de 50 a 54 años,Población de 55 a 59 años,Población de 60 a 64 años,Población de 65 a 69 años,Población de 70 a 74 años,Población de 75 a 79 años,Población de 80 a 84 años,Población de 85 a 89 años,Población de 90 a 94 años,Población de 95 a 99 años,Población total,Porcentaje de 0-19 años,Porcentaje de 20-39 años,Porcentaje de 40-59 años,Porcentaje de 60-79 años,Porcentaje de 80 y más años
Aguascalientes,1995,19,112429,104083,59,97061,88901,71839,62217,52549,40131,31678,107680,24525,17646,15900,11870,9452,5771,3892,2428,975,380,862720,48.83,31.93,13.21,4.98,0.9
Aguascalientes,2000,21,116137,108532,102,99577,87508,79200,70317,60839,49365,37541,117375,30202,22094,17759,13752,10714,7754,4336,2726,1169,542,944285,46.77,31.54,14.74,5.29,0.94
Aguascalientes,2005,23,118536,120280,98,107007,93139,83073,82651,73006,61553,49233,120130,39222,29196,23168,16290,12912,9203,6155,3140,1302,503,1065416,43.73,31.15,16.82,5.78,1.05
Aguascalientes,2010,24,121557,123806,109,121428,106305,93604,88726,86254,73084,60198,128874,49980,37543,29258,21004,15254,10673,7228,4061,1467,551,1184996,41.83,31.64,18.63,6.43,1.13
Aguascalientes,2020,27,124430,129717,112,131967,127020,118426,106825,99257,92378,84669,131048,74121,58865,48306,35823,25586,16581,10186,5576,2410,796,1425607,36.28,31.67,21.75,8.86,1.34
Baja California,1995,22,257856,208902,141,215142,240052,208348,175151,143144,105499,80606,238928,64059,47838,40558,29724,21048,12270,7248,3702,1336,572,2112140,43.6,36.3,14.11,4.9,0.62
Baja California,2000,23,268682,226758,266,220707,231966,230907,197807,165348,126564,92839,260331,73548,53639,44174,32561,23192,15403,8005,4322,1675,857,2487367,39.26,33.21,13.93,4.64,0.61
Baja California,2005,25,267954,267938,172,255309,246968,241951,240879,208125,164598,128512,277635,99356,71624,56711,40660,28923,18815,11375,5453,1987,792,2844469,37.58,32.97,16.32,5.1,0.7
Baja California,2010,26,293234,305472,206,299195,286479,265428,264023,264063,215049,171104,303180,136690,97874,75229,52560,37742,24055,14744,7764,2641,913,3155070,38.07,34.23,19.67,6.01,0.83
Baja California,2020,30,266301,312348,252,315639,340359,328244,302389,292069,273611,260844,299654,221388,168653,134022,94704,65425,40874,25204,12451,4858,1512,3769020,31.68,33.51,24.53,8.89,1.17
Baja California Sur,1995,22,42732,41165,35,40586,39231,34454,30976,26784,19764,14905,42977,11611,8618,6868,5061,3560,2353,1430,795,321,149,375494,44.6,35.01,14.62,4.75,0.73
Baja California Sur,2000,23,45613,43302,53,42376,42278,40264,35609,31282,25053,18593,45929,14109,10631,8248,6145,4176,2894,1725,966,361,221,424041,41.79,35.24,16.13,5.06,0.78
Baja California Sur,2005,25,49069,48106,45,46700,46222,45939,43628,38197,31526,25121,49164,19430,13781,10783,7544,5254,3488,2154,1168,440,177,512170,37.69,33.97,17.54,5.29,0.78
Baja California Sur,2010,26,60758,57380,58,57713,58690,57525,56159,52235,42163,34308,60334,28122,20188,14895,10279,7012,4598,2805,1589,655,223,637026,37.08,35.26,19.59,5.77,0.84
Baja California Sur,2020,29,62455,67665,55,65469,66743,68798,67779,64927,59389,51771,66933,43337,33731,27095,19274,12545,8166,4649,2556,936,332,798447,32.88,33.6,23.57,8.4,1.07
Campeche,1995,20,80026,77875,125,71464,64693,52129,45219,40558,30851,24521,80680,18502,14680,12842,9347,7362,4504,2674,1449,682,304,642516,48.25,31.53,13.78,5.3,0.81
