year,Tasa fertilidad,Población 65 años y más,Crecimiento poblacional (% anual),Población total,Población rural,Población urbana,Defunciones,Nacimientos,Matrimonios,Divorcios,Homicidios total,Suicidios
1994,3.127,4.38681457282003,1.90443531542116,88314424,23858142,64456282,419074,2904389,671640,35029,15839,2603
1995,3.038,4.47147450878462,1.85680777986673,89969572,23960696,66008876,430278,2750444,658114,37455,15612,2894
1996,2.956,4.5654730653424,1.78129571544977,91586555,24114740,67471815,436321,2707718,670523,38545,14505,3020
1997,2.869,4.66819496248965,1.72818289567839,93183094,24293764,68889330,440437,2698425,707840,40792,13552,3370
1998,2.8,4.77670012798562,1.68579338254176,94767284,24463227,70304057,444665,2668428,704456,45889,13656,3342
1999,2.766,4.88996760361078,1.64054838334199,96334810,24622214,71712596,443950,2769089,743856,49271,12249,3339
2000,2.716,5.00430395103661,1.58455078746177,97873442,24740449,73132993,437667,2798339,707422,52358,10737,3475
2001,2.669,5.1256899189217,1.54194113014521,99394288,24803845,74590443,443127,2767610,665434,57370,10285,3811
2002,2.623,5.25480914375635,1.52045522318023,100917081,24860923,76056158,459687,2699084,616654,60641,10088,3871
2003,2.579,5.3825236462275,1.48740053113001,102429341,24908767,77520574,472140,2655894,584142,64248,10087,4104
2004,2.536,5.5054237730576,1.4696529746789,103945813,24950113,78995700,473417,2625056,600563,67575,9329,4117
2005,2.495,5.62316289808707,1.42951167105736,105442402,24981414,80460988,495240,2567906,595713,70184,9921,4314
2006,2.456,5.73813798692991,1.36053857389621,106886790,24994407,81892383,494471,2505939,586978,72396,10452,4277
2007,2.421,5.84969721929979,1.31623681916458,108302973,24996326,83306647,514420,2655083,595209,77255,8867,4394
2008,2.391,5.96096001304688,1.26753574174522,109684489,24983933,84700556,539530,2636110,589352,81851,14006,4681
2009,2.364,6.07181783020162,1.23674369230562,111049428,24963911,86085517,564673,2577214,558913,84302,19803,5190
2010,2.34,6.16936719482848,1.32657895725526,112532401,24965313,87567088,592018,2643908,568632,86042,25757,5012
2011,2.317,6.28920740158773,1.4276397653994,114150481,24986399,89164082,590693,2586287,570954,91285,27213,5718
2012,2.294,6.44426411095783,1.39661546186197,115755909,24997489,90758420,602354,2498880,585434,99509,25967,5549
2013,2.269,6.60763168614953,1.317160792789,117290686,24984089,92306597,623599,2478889,583264,108727,23063,5909
2014,2.211,6.78540884972966,1.2414667155537,118755887,24947049,93808838,633641,2463420,577713,113478,20010,6337
2015,2.137,6.98383411847619,1.16700884975484,120149897,24889051,95260846,655688,2353596,558022,123883,20762,6425
2016,2.086,7.19867761825647,1.13323428792033,121519221,24817871,96701350,685766,2293708,543749,139807,24559,6370
2017,2.041,7.42472006557024,1.08042073770937,122839258,24731228,98108030,703047,2234039,528678,147581,32079,6559
2018,1.996,7.66820086478801,0.951668643927897,124013861,24609311,99404550,722611,2162535,501298,156556,36685,6808
2019,1.916,7.88190672477085,0.860265089734684,125085311,24461683,100623628,747784,2092214,504923,160107,36661,7223
2020,1.905,8.02123669897249,0.727243815691995,125998302,24278613,101719689,1086743,1629211,335563,92739,36773,7896
2021,1.822,8.1336389847111,0.559420832085433,126705138,24053703,102651435,1122249,1912178,453085,149675,35700,8432
2022,1.803,8.32313814034198,0.628607802526073,127504125,23843271,103660854,847716,1891388,507052,166766,33287,8239
